module_name,modified_date,current_version,newest_version,links,notes,tag
Microsoft.ApplicationInsights.AspNetCore.dll,7/19/2022 19:55
Azure.Storage.Blobs.dll,9/12/2023 19:59
Microsoft.Data.SqlClient.resources.dll,5/31/2024 19:33
Microsoft.CodeAnalysis.CSharp.resources.dll,10/14/2021 18:42
Microsoft.CodeAnalysis.resources.dll,10/14/2021 18:30
System.Data.SqlClient.dll,1/17/2020 18:28
Microsoft.ServiceProfiler.Contract.Http.dll,1/24/2024 23:02
Microsoft.EntityFrameworkCore.dll,10/23/2021 18:35
EPiServer.Azure.dll,10/17/2023 10:47
Microsoft.Data.SqlClient.resources.dll,5/31/2024 19:33
Microsoft.CodeAnalysis.CSharp.resources.dll,10/14/2021 18:42
Microsoft.CodeAnalysis.resources.dll,10/14/2021 18:30
Microsoft.AspNetCore.Mvc.NewtonsoftJson.dll,11/18/2021 3:38
Microsoft.ServiceProfiler.ProcessMonitor.dll,1/24/2024 23:11
EPiServer.Licensing.dll,3/26/2024 9:21
Geta.Optimizely.Sitemaps.dll,3/2/2024 6:17
EPiServer.Cms.AspNetCore.Templating.dll,3/26/2024 9:21
EPiServer.Find.Statistics.dll,1/29/2024 8:20
Microsoft.AI.PerfCounterCollector.dll,7/19/2022 19:55
SixLabors.ImageSharp.Web.dll,4/15/2024 9:57
Microsoft.EntityFrameworkCore.Abstractions.dll,10/23/2021 18:35
EPiServer.Find.Framework.dll,1/29/2024 8:20
EPiServer.Cms.UI.Settings.dll,4/25/2024 9:15
System.Configuration.ConfigurationManager.dll,10/31/2023 14:59
Microsoft.IdentityModel.Protocols.OpenIdConnect.dll,12/1/2023 4:48
Renci.SshNet.dll,12/29/2023 13:57
SkiaSharp.dll,9/20/2023 18:11
Diamir.Connect.Epi.NetCore.dll,6/27/2024 9:37
System.Diagnostics.PerformanceCounter.dll,11/15/2019 8:37
EPiServer.Cms.AspNetCore.Routing.dll,3/26/2024 9:21
System.CodeDom.dll,11/15/2019 8:36
Microsoft.CodeAnalysis.CSharp.resources.dll,10/14/2021 18:42
Microsoft.CodeAnalysis.resources.dll,10/14/2021 18:30
Microsoft.Identity.Client.dll,4/15/2024 22:52
Microsoft.AspNetCore.Identity.EntityFrameworkCore.dll,10/26/2021 21:52
System.Security.Cryptography.ProtectedData.dll,10/31/2023 14:59
EPiServer.LinkAnalyzer.dll,3/26/2024 9:21
Microsoft.IdentityModel.JsonWebTokens.dll,12/1/2023 4:34
Castle.Windsor.dll,12/8/2020 7:29
Microsoft.Win32.SystemEvents.dll,10/22/2021 23:40
Microsoft.ServiceProfiler.Utilities.dll,1/24/2024 23:08
Diamir.Connect.Web.NetCore.dll,6/27/2024 9:38
EPiServer.Cms.Shell.UI.dll,4/25/2024 9:15
System.ClientModel.dll,1/3/2024 17:43
Microsoft.ServiceProfiler.Agent.Exceptions.dll,1/24/2024 23:01
EPiServer.Find.dll,1/29/2024 8:20
EPiServer.Cms.HealthCheck.dll,3/19/2024 7:39
EPiServer.Cms.UI.Admin.dll,4/25/2024 9:15
Microsoft.IdentityModel.Tokens.dll,12/1/2023 4:41
Wangkanai.System.dll,6/16/2023 3:14
Microsoft.AI.WindowsServer.dll,7/19/2022 19:54
