module_name,modified_date,current_version,newest_version,links,notes,tag
Azure.Security.KeyVault.Secrets.dll,2023-03-14 22:39,,,,,
Microsoft.Extensions.DependencyModel.dll,2021-10-22 23:47,,,,,
Wangkanai.System.dll,2023-06-16 03:14,,,,,
Microsoft.ServiceProfiler.ProcessMonitor.dll,2023-06-27 00:24,,,,,
System.CodeDom.dll,2019-11-15 08:36,,,,,
Azure.Core.dll,2024-02-26 15:24,,,,,
EPiServer.Cms.AspNetCore.Templating.dll,2024-02-05 13:16,,,,,
EPiServer.Data.dll,2024-02-05 13:16,,,,,
Luminos.Search.Episerver.Commerce.dll,2024-10-07 19:49,,,,,
Jenson.Application.dll,2024-10-07 19:50,,,,,
X.PagedList.Mvc.Core.dll,2023-03-12 21:26,,,,,
Microsoft.Dynamics.Commerce.Runtime.Framework.dll,2023-08-17 00:50,,,,,
System.Configuration.ConfigurationManager.dll,2022-08-19 19:58,,,,,
FluentMigrator.Runner.Postgres.dll,2018-04-27 06:39,,,,,
Microsoft.ServiceProfiler.HttpPipeline.dll,2023-06-27 00:14,,,,,
EPiServer.Cms.AspNetCore.dll,2024-02-05 13:16,,,,,
EPiServer.dll,2024-02-05 13:15,,,,,
Jenson.CurrencyLayer.dll,2024-10-07 19:49,,,,,
Avensia.Storefront.Connector.Opti.dll,2023-03-30 13:17,,,,,
EPiServer.Cms.AspNetCore.Mvc.dll,2024-02-05 13:16,,,,,
Wangkanai.Hosting.dll,2023-06-16 03:16,,,,,
EPiServer.Events.dll,2024-02-05 13:16,,,,,
FluentFTP.dll,2023-12-27 07:35,,,,,
Castle.Windsor.dll,2020-12-08 07:29,,,,,
Microsoft.CodeAnalysis.resources.dll,2021-10-14 18:30,,,,,
Microsoft.CodeAnalysis.CSharp.resources.dll,2021-10-14 18:42,,,,,
EPiServer.Commerce.Internal.Migration.dll,2023-09-12 10:33,,,,,
FluentMigrator.Runner.MySql.dll,2018-04-27 06:39,,,,,
EPiServer.Cms.Warmup.dll,2024-02-06 12:22,,,,,
FluentMigrator.Runner.SqlServer.dll,2018-04-27 06:39,,,,,
Azure.Storage.Blobs.dll,2023-09-12 19:59,,,,,
Microsoft.IdentityModel.Clients.ActiveDirectory.Platform.dll,2016-07-11 12:55,,,,,
Avensia.Storefront.Connector.D365ScaleUnit.dll,2023-03-07 09:59,,,,,
Mediachase.Commerce.Workflow.dll,2023-09-12 10:33,,,,,
